#
# Log ID mappings
#

# Controller client
JBAS014864	WFLYCTL0273
JBAS014865	WFLYCTL0274
JBAS014866	WFLYCTL0275
JBAS014867	WFLYCTL0276
JBAS014868	WFLYCTL0277
JBAS014869	WFLYCTL0278
JBAS014870	WFLYCTL0279
JBAS014871	WFLYCTL0280
JBAS014872	WFLYCTL0281
JBAS014873	WFLYCTL0282
JBAS014874	WFLYCTL0283
JBAS014875	WFLYCTL0284
JBAS014876	WFLYCTL0285
JBAS014877	WFLYCTL0286
JBAS014878	WFLYCTL0287
JBAS014879	WFLYCTL0288
JBAS014880	WFLYCTL0289
JBAS014881	WFLYCTL0290
JBAS014882	WFLYCTL0291
JBAS014883	WFLYCTL0030
JBAS014884	WFLYCTL0031
JBAS014885	WFLYCTL0292
JBAS014886	WFLYCTL0293
JBAS014887	WFLYCTL0294
JBAS014888	WFLYCTL0295
JBAS014889	WFLYCTL0296
JBAS014890	WFLYCTL0297
JBAS014891	WFLYCTL0298
JBAS014892	WFLYCTL0299
JBAS014893	WFLYCTL0300
JBAS014894	WFLYCTL0301
JBAS014895	WFLYCTL0302
JBAS014896	WFLYCTL0303
JBAS014897	WFLYCTL0304
JBAS014898	WFLYCTL0305
JBAS014899	WFLYCTL0306
JBAS013450	WFLYCTL0307
JBAS013451	WFLYCTL0308
JBAS013452	WFLYCTL0309
JBAS013453	WFLYCTL0310
JBAS013454	WFLYCTL0311
JBAS013455	WFLYCTL0312
JBAS013456	WFLYCTL0313
JBAS013457	WFLYCTL0314
JBAS013458	WFLYCTL0315
JBAS013459	WFLYCTL0316
JBAS013460	WFLYCTL0317
JBAS013461	WFLYCTL0318
JBAS013462	WFLYCTL0319
JBAS013463	WFLYCTL0320
JBAS013464	WFLYCTL0321
JBAS013465	WFLYCTL0322
JBAS013466	WFLYCTL0323
JBAS013467	WFLYCTL0324
JBAS013468	WFLYCTL0325
JBAS013469	WFLYCTL0326
JBAS013470	WFLYCTL0327
JBAS013471	WFLYCTL0328
JBAS013472	WFLYCTL0329
JBAS013473	WFLYCTL0330
JBAS013474	WFLYCTL0331
JBAS013475	WFLYCTL0332
JBAS013476	WFLYCTL0333
JBAS013477	WFLYCTL0334
JBAS013478	WFLYCTL0335
JBAS013479	WFLYCTL0336
JBAS013480	WFLYCTL0337
JBAS013481	WFLYCTL0338
JBAS013482	WFLYCTL0339
JBAS013483	WFLYCTL0340
JBAS013484	WFLYCTL0341

# WildFly Deployment Repository
JBAS014900	WFLYDR0001
JBAS014901	WFLYDR0002
JBAS014902	WFLYDR0003
JBAS014920	WFLYDR0004
JBAS014921	WFLYDR0005
JBAS014922	WFLYDR0006
JBAS014923	WFLYDR0007
JBAS014924	WFLYDR0008

# WildFly Deployment Scanner
JBAS015000	WFLYDS0001
JBAS015001	WFLYDS0002
JBAS015002	WFLYDS0003
JBAS015003	WFLYDS0004
JBAS015004	WFLYDS0005
JBAS015005	WFLYDS0006
JBAS015006	WFLYDS0007
JBAS015007	WFLYDS0008
JBAS015008	WFLYDS0009
JBAS015009	WFLYDS0010
JBAS015010	WFLYDS0011
JBAS015011	WFLYDS0012
JBAS015012	WFLYDS0013
JBAS015013	WFLYDS0014
JBAS015014	WFLYDS0015
JBAS015015	WFLYDS0016
JBAS015016	WFLYDS0017
JBAS015017	WFLYDS0018
JBAS015018	WFLYDS0019
JBAS015050	WFLYDS0020
JBAS015051	WFLYDS0021
JBAS015052	WFLYDS0022
JBAS015053	WFLYDS0023
JBAS015054	WFLYDS0024
JBAS015055	WFLYDS0025
JBAS015056	WFLYDS0026
JBAS015057	WFLYDS0027
JBAS015058	WFLYDS0028
JBAS015059	WFLYDS0029
JBAS015060	WFLYDS0030
JBAS015061	WFLYDS0031
JBAS015062	WFLYDS0032

# WildFly Domain HTTP Interface
JBAS015100	WFLYDMHTTP0001
JBAS015101	WFLYDMHTTP0002
JBAS015102	WFLYDMHTTP0003
JBAS015104	WFLYDMHTTP0004
JBAS015127	WFLYDMHTTP0005
JBAS015135	WFLYDMHTTP0006
JBAS015136	WFLYDMHTTP0007
JBAS015137	WFLYDMHTTP0008
JBAS015138	WFLYDMHTTP0009
JBAS015139	WFLYDMHTTP0010
JBAS015105	WFLYDMHTTP0011

# WildFly Domain Management
JBAS015200	WFLYDM0001
JBAS015201	WFLYDM0002
JBAS015202	WFLYDM0003
JBAS015203	WFLYDM0004
JBAS015204	WFLYDM0005
JBAS015205	WFLYDM0006
JBAS015206	WFLYDM0007
JBAS015207	WFLYDM0008
JBAS015220	WFLYDM0009
JBAS015221	WFLYDM0010
JBAS015222	WFLYDM0011
JBAS015223	WFLYDM0012
JBAS015224	WFLYDM0013
JBAS015225	WFLYDM0014
JBAS015226	WFLYDM0015
JBAS015227	WFLYDM0016
JBAS015228	WFLYDM0017
JBAS015229	WFLYDM0018
JBAS015230	WFLYDM0019
JBAS015231	WFLYDM0020
JBAS015232	WFLYDM0021
JBAS015233	WFLYDM0022
JBAS015234	WFLYDM0023
JBAS015235	WFLYDM0024
JBAS015236	WFLYDM0025
JBAS015237	WFLYDM0026
JBAS015238	WFLYDM0027
JBAS015239	WFLYDM0028
JBAS015240	WFLYDM0029
JBAS015241	WFLYDM0030
JBAS015242	WFLYDM0031
JBAS015243	WFLYDM0032
JBAS015244	WFLYDM0033
JBAS015246	WFLYDM0034
JBAS015247	WFLYDM0035
JBAS015248	WFLYDM0036
JBAS015249	WFLYDM0037
JBAS015250	WFLYDM0038
JBAS015251	WFLYDM0039
JBAS015254	WFLYDM0040
JBAS015255	WFLYDM0041
JBAS015256	WFLYDM0042
JBAS015259	WFLYDM0043
JBAS015260	WFLYDM0044
JBAS015261	WFLYDM0045
JBAS015262	WFLYDM0046
JBAS015263	WFLYDM0047
JBAS015264	WFLYDM0048
# this one was originally a typo
JBAS152565	WFLYDM0049
# this is the proper code
JBAS015265	WFLYDM0049
JBAS015266	WFLYDM0050
JBAS015267	WFLYDM0051
JBAS015268	WFLYDM0052
JBAS015269	WFLYDM0053
JBAS015270	WFLYDM0054
JBAS015271	WFLYDM0055
JBAS015272	WFLYDM0056
JBAS015273	WFLYDM0057
JBAS015274	WFLYDM0058
JBAS015275	WFLYDM0059
JBAS015276	WFLYDM0060
JBAS015277	WFLYDM0061
JBAS015278	WFLYDM0062
JBAS015279	WFLYDM0063
JBAS015280	WFLYDM0064
JBAS015281	WFLYDM0065
JBAS015282	WFLYDM0066
JBAS015283	WFLYDM0067
JBAS015284	WFLYDM0068
JBAS015285	WFLYDM0069
JBAS015286	WFLYDM0070
JBAS015287	WFLYDM0071
JBAS015288	WFLYDM0072
JBAS015289	WFLYDM0073
JBAS015290 	WFLYDM0074
JBAS015291	WFLYDM0075
